,上映日期,分数,地区,导演,演员,片名,片长,评价人数
0,2018,8.2,中国大陆,饶晓志,陈建斌 / 任素汐 / 潘斌龙,无名之辈,108分钟,170139
1,2018,6.2,美国,朱浩伟,吴恬敏 / 杨紫琼 / 亨利·戈尔丁,摘金奇缘,119分钟(中国大陆),23054
2,2016,5.7,法国,让-弗朗西斯·瑞切,梅尔·吉布森 / 艾琳·莫里亚蒂 / 迭戈·卢纳,亡命救赎,88分钟,2844
3,2018,7.6,印度,奥米史·舒克拉,阿米达普·巴强 / 里希·卡普尔 / 吉米特·特里韦迪,老爸102岁,102分钟,2438
4,2018,8.3,美国,菲尔·约翰斯顿 瑞奇·摩尔,约翰·C·赖利 / 萨拉·西尔弗曼 / 盖尔·加朵,无敌破坏王2：大闹互联网,112分钟,77538
5,2018,7.3,美国 中国大陆,鲁本·弗雷斯彻,汤姆·哈迪 / 米歇尔·威廉姆斯 / 里兹·阿迈德,毒液：致命守护者,107分钟(中国大陆),258136
6,2018,6.7,法国 美国 英国,大卫·科尔,罗温·艾金森 / 本·米勒 / 欧嘉·柯瑞兰寇,憨豆特工3,89分钟,12308
7,2018,7.2,美国 英国,大卫·叶茨,埃迪·雷德梅恩 / 凯瑟琳·沃特斯顿 / 约翰尼·德普,神奇动物：格林德沃之罪,134分钟,159024
8,2018,暂无评分,中国大陆,刘畅,屈楚萧 / 孔垂楠 / 叶子诚,二十岁,98分钟,81
9,2018,暂无评分,中国大陆,林子聪 柯丁图,林子聪 / 艾晓琪 / 陈浩民,冒牌搭档,86分钟,50
10,2017,暂无评分,中国大陆,彭小莲,冯文娟 / 贾一平 / 黄宗英,请你记住我,96分钟,102
11,2018,3.3,中国大陆,宁海强,徐洪浩 / 一龙 / 彭士腾,中国蓝盔,96分钟,1289
12,2017,4.2,英国,乔·米亚,李·佩斯 / 贝纳尼丝·玛尔洛 / 艾米·路易斯·威尔逊,铁甲战神,87分钟,991
13,2018,5.8,日本,立川让,高山南 / 山口胜平 / 山崎和佳奈,名侦探柯南：零的执行人,110分钟,42523
14,2018,6.4,英国 中国大陆 波多黎各 美国,杰弗利·纳赫马诺夫,基努·里维斯 / 爱丽丝·伊芙 / 艾米丽·阿琳·林德,克隆人,107分钟,1101
15,2018,7.1,中国大陆,岩井俊二,周迅 / 秦昊 / 杜江,你好，之华,114分钟,63991
16,2018,暂无评分,中国大陆,杨振豪,李晨浩 / 汤晶媚 / 沈建宏,恐怖快递,90分钟,81
17,2018,暂无评分,中国大陆,史强,贡米 / 郭子瑜 / 李封乾,33号公路,98分钟,7
18,2018,7.5,中国大陆,程工 任长箴,,生活万岁,94分钟,2113
19,2018,暂无评分,中国大陆,王军,李滨 / 于非非 / 毛孩,在天堂等我,129分钟,41
20,2018,暂无评分,中国大陆,张一墨,居文沛 / 闫美伊 / 唐小然,不一样的焰火,91分钟,9
21,2018,暂无评分,中国大陆,高旭,宋睿 / 高旭 / 明星,奇幻梦之旅,90分钟,1
22,2016,8.0,英国,罗杰·斯波蒂斯伍德,卢克·崔德威 / 猫鲍勃 / 露塔·格德米纳斯,流浪猫鲍勃,103分钟,73166
23,2018,8.2,中国大陆 香港,庄文强,周润发 / 郭富城 / 张静初,无双,130分钟,268192
24,2018,6.1,美国,拉斯·霍尔斯道姆 乔·庄斯顿,麦肯吉·弗依 / 摩根·弗里曼 / 凯拉·奈特莉,胡桃夹子和四个王国,99分钟,28660
25,2012,7.0,中国大陆,陈卓,李强 / 尹雅宁 / 吴冰滨,杨梅洲,98分钟,2924
26,2018,5.2,中国大陆,刘炜,胡谦 / 李晔 / 蒋可,阿凡提之奇缘历险,85分钟,1082
27,2018,暂无评分,中国大陆,施雅雅,吕佩玉 / 王衡 / 孙晔,恐龙王,95分钟,391
28,2018,暂无评分,中国大陆,李伟,李彦锋 / 王雨晗 / 徐晨耀,最后一公里,104分钟,73
29,2015,6.8,中国大陆,宋占涛,,地层深处,90分钟,63
