Name,Score
无名之辈,9.0
无敌破坏王2：大闹互联网,8.8
毒液：致命守护者,9.0
亡命救赎,8.3
老爸102岁,8.7
摘金奇缘,
憨豆特工3,8.5
神奇动物：格林德沃之罪,8.1
海王,
二十岁,
一百年很长吗,
中国蓝盔,7.8
冒牌搭档,
名侦探柯南：零的执行人,8.4
克隆人,8.2
生活万岁,8.7
惊涛飓浪,
超时空大冒险,
请你记住我,
铁甲战神,
三只小猪2,
你好，之华,8.0
龙猫,
狗十三,
恐怖快递,3.4
胡桃夹子和四个王国,7.7
绿毛怪格林奇,
流浪猫鲍勃,8.7
超凡蜘蛛侠2,
印度合伙人,
恐龙王,8.7
飓风奇劫,8.2
在天堂等我,
秋野春潮,
勇敢往事,
奇幻梦之旅,
无双,8.9
33号公路,
杨梅洲,
大烟炮！一千八！,
嗝嗝老师,9.1
有五个姐姐的我就注定要单身了啊！,7.4
改革开放40周年影展,
阿凡提之奇缘历险,8.3
追宝狂想曲,
阴阳眼之瞳灵公馆,5.4
最后一公里,
曹操与杨修,
大唐风云2,
帝企鹅日记2：召唤,8.4
找到你,8.7
我的冤家是条狗,8.4
超萌特攻,
叶问外传：张天志,
淡蓝琥珀,
圣地额济纳,
一代天骄成吉思汗,
村戏,
进击的男孩,
影,8.2
大师兄,8.4
过昭关,
建党伟业,
盲行者,
小街,
爱不可及,
柔情史,
花事·如期,
星溪的三次奇遇,
2018巴西影展,
空山异客,
好友,
女他,
之子于归,
冥王星时刻,
旺扎的雨靴,
白蛇：缘起,
地球最后的夜晚,
六人晚餐,8.0
