,all_box_office(w),genre,region,released_days,title
1,567875,动作,中国,2017-07-27,战狼2
2,267096,动作,美国,2017-04-14,速度与激情8
3,220175,喜剧,中国,2017-09-30,羞羞的铁拳
4,175260,喜剧,印度/中国,2017-01-28,功夫瑜伽
5,165593,奇幻,中国香港/中国,2017-01-28,西游伏妖篇
6,155124,动作,美国,2017-06-23,变形金刚5：最后的骑士
7,129912,喜剧,印度,2017-05-05,摔跤吧！爸爸
8,118754,战争,中国,2017-12-15,芳华
9,117991,动作,美国,2017-05-26,加勒比海盗5：死无对证
10,116050,动作,美国,2017-03-24,金刚：骷髅岛
11,115251,动画,美国,2017-11-24,寻梦环游记
12,112741,动作,美国,2017-02-10,极限特工：终极回归
13,111182,科幻,美国/德国,2017-02-24,生化危机：终章
14,104853,剧情,中国,2017-01-28,乘风破浪
15,103780,动画,美国,2017-07-07,神偷奶爸3
16,77414,动作,美国,2017-09-08,蜘蛛侠：英雄归来
17,75793,喜剧,中国,2017-01-28,大闹天竺
18,74303,动作,美国,2017-11-03,雷神3：诸神黄昏
19,73978,动作,美国,2017-09-15,猩球崛起3：终极之战
20,73163,动作,美国,2017-03-03,金刚狼3：殊死一战
21,69653,奇幻,中国,2017-07-13,悟空传
22,69008,动作,美国,2017-11-17,正义联盟
23,68611,科幻,美国,2017-05-05,银河护卫队2
24,62560,动作,美国,2017-06-09,新木乃伊
25,339210,喜剧,中国/中国香港,2016-02-08,美人鱼
26,153033,动画,美国,2016-03-04,疯狂动物城
27,147214,动作,美国,2016-06-08,魔兽
28,124625,动作,美国,2016-05-06,美国队长3：英雄内战
29,120101,动作,中国,2016-02-08,西游记之孙悟空三打白骨精
30,118417,动作,中国香港/中国,2016-09-30,湄公河行动
31,111818,喜剧,中国/中国香港,2016-02-08,澳门风云3
32,100439,奇幻,中国,2016-08-05,盗墓笔记
33,100200,动画,中国/美国,2016-01-29,功夫熊猫3
34,97937,奇幻,美国/中国,2016-12-16,长城
35,97933,奇幻,美国,2016-04-15,奇幻森林
36,88938,动作,美国/中国香港/中国,2016-07-21,绝地逃亡
37,82557,科幻,美国,2016-01-09,星球大战：原力觉醒
38,81417,爱情,中国,2016-09-29,从你的全世界路过
39,80284,动作,美国,2016-06-03,X战警：天启
40,78675,爱情,中国/中国香港,2016-04-29,北京遇上西雅图之不二情书
41,77028,动作,中国/中国香港,2016-03-04,叶问3
42,75165,奇幻,美国,2016-11-04,奇异博士
43,68262,喜剧,中国,2015-12-31,唐人街探案
44,67819,动作,中国香港/中国,2016-07-08,寒战2
45,63890,动作,美国,2016-06-24,惊天魔盗团2
46,61908,动作,美国,2016-03-25,蝙蝠侠大战超人：正义黎明
47,60624,动作,中国香港/中国,2016-08-11,使徒行者
48,58921,奇幻,美国/英国,2016-11-25,神奇动物在哪里
49,243997,奇幻,中国香港/中国,2015-07-16,捉妖记
50,242658,动作,美国/日本,2015-04-12,速度与激情7
51,161354,喜剧,中国,2015-09-25,港囧
52,146439,科幻,美国,2015-05-12,复仇者联盟2：奥创纪元
53,144160,喜剧,中国,2015-09-30,夏洛特烦恼
54,142070,动作,美国,2015-06-10,侏罗纪世界
55,137391,动作,中国香港/中国,2015-12-18,寻龙诀
56,116031,喜剧,中国,2015-07-17,煎饼侠
57,97485,喜剧,中国香港/中国,2015-02-19,澳门风云2
58,95643,动画,中国,2015-07-10,西游记之大圣归来
59,86977,动作,美国/中国,2015-09-08,碟中谍5：神秘国度
60,76650,奇幻,美国/新西兰,2015-01-23,霍比特人3：五军之战
61,74418,动作,中国,2015-02-19,天将雄师
62,72536,科幻,美国,2015-08-23,终结者：创世纪
63,69960,剧情,中国/法国,2015-02-19,狼图腾
64,68293,动作,中国,2015-09-30,九层妖塔
65,67176,科幻,美国,2015-10-16,蚁人
66,62967,灾难,美国,2015-06-02,末日崩塌
67,59736,喜剧,中国,2015-12-24,恶棍天使
68,58690,科幻,美国,2015-11-25,火星救援
69,56040,动作,中国/中国香港,2015-06-18,杀破狼2
70,54447,动作,中国,2015-04-02,战狼
71,54209,动作,美国/英国,2015-11-13,007：幽灵党
72,53032,动画,日本,2015-05-28,哆啦A梦：伴我同行
